Risk_Description,Impact,Likelihood
Weak authentication controls allow brute force attack to compromise user accounts,4,4
Improper security patching cadence leaves exploitable vulnerabilities in critical systems,5,3
"Accidental misconfiguration of firewall blocks all external web traffic, causing outage",4,2
Failure of UPS battery backup during power outage causes hard shutdown of critical systems,5,2
Weak access controls on cloud storage lead to data leakage,4,3
Outdated operating systems no longer supported by vendor are vulnerable to exploits,4,4
Lack of capacity planning leads to undersized infrastructure unable to handle growth,3,4
Unencrypted laptop containing sensitive data is lost or stolen,4,2
Improper decommissioning of hardware results in unauthorized data access,3,2
Weak authentication requirements allow attacker to brute force passwords,4,3
"DOS attack saturates Internet bandwidth, causing severe degradation of network performance",3,4
Improper access restrictions on share drives enable unauthorized access to confidential data,4,2
Improper asset management leads to lack of support for aging hardware past end-of-life,2,4
Failure to keep software up-to-date leaves vulnerabilities open to exploitation,4,3
Improper backup configuration omits critical data from backup jobs,5,1
Natural disaster destroys data center with no redundant site for DR,5,2
Embedded malware in software supply chain infects systems after update is applied,4,3
Compromised vendor credentials used to gain access to internal network resources,4,2
Weak mobile device management leads to loss of proprietary data on employee devices,3,4
Lack of log monitoring allows malicious activity to go undetected over long period,4,3
Improper network segmentation allows lateral movement after initial breach,4,3
Uncontrolled BYOD devices introduce vulnerabilities inside trusted network,3,2
Weak physical security controls allow unauthorized physical access to data center,3,3
Failure to encrypt laptops allows exposure of data if devices are lost/stolen,4,3
Improper hardening of servers leaves unnecessary ports/services open to attack,4,4
